title,company,location,skills,job_desc,skills_list,skills_cleaned
Data Engineer,Salesforce,San Francisco,"['AWS', 'Airflow']","We are looking for a Data Engineer with experience in AWS, Airflow.","['airflow', 'aws']","airflow, aws"
Data Engineer,Facebook,Los Angeles,"['Python', 'Airflow', 'AWS', 'SQL']","We are looking for a Data Engineer with experience in Python, SQL, Airflow.","['airflow', 'aws', 'python', 'sql']","airflow, aws, python, sql"
Business Analyst,Ey,Austin,"['Excel', 'Business Analysis', 'Project Management', 'Power BI', 'SQL']","We are looking for a Business Analyst with experience in Project Management, Business Analysis, Excel.","['business analysis', 'excel', 'power bi', 'project management', 'sql']","business analysis, excel, power bi, project management, sql"
Business Analyst,Uber,Atlanta,"['Business Analysis', 'Power BI', 'Excel', 'Project Management']","We are looking for a Business Analyst with experience in Project Management, Excel, Power BI.","['business analysis', 'excel', 'power bi', 'project management']","business analysis, excel, power bi, project management"
Analytics Consultant,Deloitte,New York,"['Client Communication', 'Python', 'Power BI', 'Excel']","We are looking for a Analytics Consultant with experience in Python, Client Communication, Power BI.","['client communication', 'excel', 'power bi', 'python']","client communication, excel, power bi, python"
Ai Engineer,Uber,Los Angeles,"['Deep Learning', 'PyTorch']","We are looking for a AI Engineer with experience in PyTorch, Deep Learning.","['deep learning', 'pytorch']","deep learning, pytorch"
Data Engineer,Deloitte,Chicago,"['Spark', 'Airflow', 'Python']","We are looking for a Data Engineer with experience in Spark, Airflow, Python.","['airflow', 'python', 'spark']","airflow, python, spark"
Business Analyst,Microsoft,Denver,"['Power BI', 'SQL', 'Project Management']","We are looking for a Business Analyst with experience in SQL, Project Management, Power BI.","['power bi', 'project management', 'sql']","power bi, project management, sql"
Machine Learning Engineer,Deloitte,Atlanta,"['Python', 'AWS']","We are looking for a Machine Learning Engineer with experience in Python, AWS.","['aws', 'python']","aws, python"
Machine Learning Engineer,Google,New York,"['Machine Learning', 'Python', 'AWS', 'TensorFlow']","We are looking for a Machine Learning Engineer with experience in TensorFlow, Python, Machine Learning.","['aws', 'machine learning', 'python', 'tensorflow']","aws, machine learning, python, tensorflow"
Analytics Consultant,Facebook,San Francisco,"['Power BI', 'SQL']","We are looking for a Analytics Consultant with experience in Power BI, SQL.","['power bi', 'sql']","power bi, sql"
Analytics Consultant,Amazon,Boston,"['Python', 'SQL']","We are looking for a Analytics Consultant with experience in Python, SQL.","['python', 'sql']","python, sql"
Ai Engineer,Facebook,San Francisco,"['NLP', 'AWS', 'Deep Learning', 'PyTorch', 'Python']","We are looking for a AI Engineer with experience in Deep Learning, AWS, Python.","['aws', 'deep learning', 'nlp', 'python', 'pytorch']","aws, deep learning, nlp, python, pytorch"
Data Scientist,Ibm,Boston,"['Statistics', 'Python', 'Machine Learning']","We are looking for a Data Scientist with experience in Machine Learning, Statistics, Python.","['machine learning', 'python', 'statistics']","machine learning, python, statistics"
Business Analyst,Ey,Seattle,"['SQL', 'Excel', 'Project Management', 'Business Analysis', 'Power BI']","We are looking for a Business Analyst with experience in Business Analysis, Project Management, SQL.","['business analysis', 'excel', 'power bi', 'project management', 'sql']","business analysis, excel, power bi, project management, sql"
Ai Engineer,Google,Atlanta,"['PyTorch', 'Python']","We are looking for a AI Engineer with experience in PyTorch, Python.","['python', 'pytorch']","python, pytorch"
Machine Learning Engineer,Ey,Seattle,"['PyTorch', 'Machine Learning', 'TensorFlow', 'Python']","We are looking for a Machine Learning Engineer with experience in PyTorch, Machine Learning, TensorFlow.","['machine learning', 'python', 'pytorch', 'tensorflow']","machine learning, python, pytorch, tensorflow"
Machine Learning Engineer,Amazon,Austin,"['Python', 'Machine Learning', 'PyTorch', 'AWS']","We are looking for a Machine Learning Engineer with experience in Python, PyTorch, AWS.","['aws', 'machine learning', 'python', 'pytorch']","aws, machine learning, python, pytorch"
Ai Engineer,Salesforce,Chicago,"['AWS', 'PyTorch', 'Deep Learning']","We are looking for a AI Engineer with experience in PyTorch, AWS, Deep Learning.","['aws', 'deep learning', 'pytorch']","aws, deep learning, pytorch"
Data Engineer,Salesforce,Denver,"['Python', 'Spark']","We are looking for a Data Engineer with experience in Spark, Python.","['python', 'spark']","python, spark"
Data Scientist,Microsoft,Los Angeles,"['Pandas', 'SQL', 'Machine Learning', 'Python']","We are looking for a Data Scientist with experience in Python, Machine Learning, Pandas.","['machine learning', 'pandas', 'python', 'sql']","machine learning, pandas, python, sql"
Machine Learning Engineer,Ibm,Chicago,"['Machine Learning', 'PyTorch', 'Python', 'AWS', 'TensorFlow']","We are looking for a Machine Learning Engineer with experience in PyTorch, AWS, Python.","['aws', 'machine learning', 'python', 'pytorch', 'tensorflow']","aws, machine learning, python, pytorch, tensorflow"
Bi Developer,Google,Denver,"['SQL', 'Tableau']","We are looking for a BI Developer with experience in SQL, Tableau.","['sql', 'tableau']","sql, tableau"
Machine Learning Engineer,Salesforce,San Francisco,"['Machine Learning', 'AWS', 'TensorFlow', 'Python', 'PyTorch']","We are looking for a Machine Learning Engineer with experience in TensorFlow, PyTorch, AWS.","['aws', 'machine learning', 'python', 'pytorch', 'tensorflow']","aws, machine learning, python, pytorch, tensorflow"
Bi Developer,Facebook,Seattle,"['Power BI', 'ETL', 'Data Warehousing']","We are looking for a BI Developer with experience in Power BI, ETL, Data Warehousing.","['data warehousing', 'etl', 'power bi']","data warehousing, etl, power bi"
Data Scientist,Salesforce,Chicago,"['SQL', 'Python', 'Pandas']","We are looking for a Data Scientist with experience in Pandas, Python, SQL.","['pandas', 'python', 'sql']","pandas, python, sql"
Data Scientist,Amazon,San Francisco,"['Pandas', 'SQL', 'Statistics', 'Machine Learning', 'Python']","We are looking for a Data Scientist with experience in Pandas, Python, Statistics.","['machine learning', 'pandas', 'python', 'sql', 'statistics']","machine learning, pandas, python, sql, statistics"
Business Analyst,Amazon,Boston,"['Project Management', 'Power BI', 'Excel']","We are looking for a Business Analyst with experience in Excel, Power BI, Project Management.","['excel', 'power bi', 'project management']","excel, power bi, project management"
Bi Developer,Salesforce,Denver,"['Tableau', 'SQL']","We are looking for a BI Developer with experience in SQL, Tableau.","['sql', 'tableau']","sql, tableau"
Analytics Consultant,Salesforce,New York,"['Python', 'Excel']","We are looking for a Analytics Consultant with experience in Excel, Python.","['excel', 'python']","excel, python"
Ai Engineer,Google,Miami,"['Deep Learning', 'NLP', 'AWS']","We are looking for a AI Engineer with experience in AWS, NLP, Deep Learning.","['aws', 'deep learning', 'nlp']","aws, deep learning, nlp"
Business Analyst,Accenture,Miami,"['Excel', 'Project Management', 'Power BI', 'Business Analysis']","We are looking for a Business Analyst with experience in Excel, Project Management, Business Analysis.","['business analysis', 'excel', 'power bi', 'project management']","business analysis, excel, power bi, project management"
Data Engineer,Salesforce,Denver,"['SQL', 'Spark', 'AWS']","We are looking for a Data Engineer with experience in Spark, AWS, SQL.","['aws', 'spark', 'sql']","aws, spark, sql"
Analytics Consultant,Google,Denver,"['SQL', 'Client Communication']","We are looking for a Analytics Consultant with experience in SQL, Client Communication.","['client communication', 'sql']","client communication, sql"
Data Engineer,Salesforce,Chicago,"['SQL', 'Python']","We are looking for a Data Engineer with experience in Python, SQL.","['python', 'sql']","python, sql"
Data Analyst,Microsoft,New York,"['Excel', 'Power BI', 'Tableau', 'SQL']","We are looking for a Data Analyst with experience in Tableau, SQL, Power BI.","['excel', 'power bi', 'sql', 'tableau']","excel, power bi, sql, tableau"
Ai Engineer,Amazon,San Francisco,"['AWS', 'PyTorch']","We are looking for a AI Engineer with experience in PyTorch, AWS.","['aws', 'pytorch']","aws, pytorch"
Bi Developer,Uber,Miami,"['Power BI', 'ETL']","We are looking for a BI Developer with experience in ETL, Power BI.","['etl', 'power bi']","etl, power bi"
Machine Learning Engineer,Google,Seattle,"['TensorFlow', 'PyTorch', 'Python']","We are looking for a Machine Learning Engineer with experience in Python, PyTorch, TensorFlow.","['python', 'pytorch', 'tensorflow']","python, pytorch, tensorflow"
Ai Engineer,Microsoft,Denver,"['Deep Learning', 'PyTorch', 'Python', 'AWS', 'NLP']","We are looking for a AI Engineer with experience in Deep Learning, Python, PyTorch.","['aws', 'deep learning', 'nlp', 'python', 'pytorch']","aws, deep learning, nlp, python, pytorch"
Data Scientist,Deloitte,Boston,"['Machine Learning', 'Pandas']","We are looking for a Data Scientist with experience in Pandas, Machine Learning.","['machine learning', 'pandas']","machine learning, pandas"
Analytics Consultant,Ibm,San Francisco,"['Excel', 'Python', 'SQL', 'Power BI']","We are looking for a Analytics Consultant with experience in Python, Power BI, SQL.","['excel', 'power bi', 'python', 'sql']","excel, power bi, python, sql"
Analytics Consultant,Ibm,New York,"['SQL', 'Python', 'Client Communication']","We are looking for a Analytics Consultant with experience in Client Communication, SQL, Python.","['client communication', 'python', 'sql']","client communication, python, sql"
Ai Engineer,Facebook,Atlanta,"['Python', 'Deep Learning', 'AWS']","We are looking for a AI Engineer with experience in Python, Deep Learning, AWS.","['aws', 'deep learning', 'python']","aws, deep learning, python"
